Time,Molecular Area,Pressure 
141.406,84.436058,3.063455
141.61,84.339749,3.072669
141.8,84.339749,3.072669
141.911,84.262701,3.081882
142.1,84.24344,3.091096
142.21,84.185654,3.100309
142.4,84.14713,3.109523
142.51,84.127869,3.123343
142.701,84.031559,3.132556
142.81,84.070083,3.132556
142.91,84.070083,3.132556
143.107,83.93525,3.141769
143.301,83.858203,3.150983
143.407,83.838941,3.15559
143.6,83.800417,3.164803
143.707,83.742632,3.174016
143.808,83.742632,3.174016
144.007,83.646323,3.187836
144.201,83.627061,3.187836
144.308,83.550014,3.19705
144.5,83.51149,3.19705
144.607,83.453704,3.21087
144.8,83.415181,3.215477
144.907,83.395919,3.229297
145.101,83.318871,3.233903
145.21,83.29961,3.243117
145.4,83.261086,3.247724
145.511,83.2033,3.256937
145.701,83.2033,3.26615
145.807,83.106991,3.275364
146.001,83.106991,3.270757
146.11,83.010682,3.284577
146.3,83.010682,3.289184
146.411,82.99142,3.298397
146.6,82.895111,3.303004
146.708,82.895111,3.303004
146.9,82.818064,3.312217
147.011,82.77954,3.316824
147.111,82.77954,3.316824
147.311,82.702493,3.330644
147.5,82.702493,3.335251
147.608,82.644707,3.344464
147.801,82.586922,3.349071
147.908,82.548398,3.358284
148.1,82.509874,3.367498
148.208,82.452089,3.372104
148.402,82.35578,3.381318
148.508,82.375042,3.385925
148.701,82.297994,3.385925
148.81,82.259471,3.404351
148.91,82.259471,3.404351
149.108,82.182423,3.418171
149.301,82.163161,3.418171
149.408,82.066852,3.431992
149.6,82.04759,3.436598
149.708,82.009067,3.441205
149.81,82.009067,3.441205
150.009,81.951281,3.459632
150.201,81.874234,3.464238
150.308,81.83571,3.468845
150.5,81.83571,3.473452
150.611,81.758663,3.487272
150.801,81.777925,3.491879
150.912,81.700877,3.505699
151.104,81.662354,3.510305
151.208,81.604568,3.510305
151.4,81.527521,3.519519
151.512,81.566045,3.528732
151.7,81.469735,3.533339
151.812,81.469735,3.542552
152.003,81.354164,3.547159
152.108,81.334903,3.560979
152.209,81.334903,3.560979
152.409,81.277117,3.574799
152.6,81.161546,3.584013
152.709,81.142284,3.597833
152.9,81.123022,3.602439
153.008,81.065237,3.607046
153.11,81.065237,3.607046
153.31,80.98819,3.620866
153.5,80.930404,3.620866
153.609,80.911142,3.639293
153.8,80.814833,3.6439
153.909,80.795571,3.648506
154.009,80.795571,3.648506
154.212,80.718524,3.666933
154.402,80.68,3.676147
154.509,80.622215,3.694573
154.7,80.564429,3.69918
154.812,80.506644,3.708394
155.003,80.46812,3.713
155.112,80.429596,3.722214
155.303,80.352549,3.731427
155.412,80.294763,3.745247
155.512,80.294763,3.745247
155.709,80.236978,3.749854
155.9,80.217716,3.759067
156.012,80.140669,3.777494
156.204,80.121407,3.782101
156.312,80.102145,3.795921
156.501,80.005836,3.805134
156.614,80.005836,3.800527
156.804,79.928789,3.818954
156.909,79.871003,3.818954
157.01,79.871003,3.818954
157.209,79.793956,3.837381
157.4,79.793956,3.841988
157.509,79.716908,3.851201
157.7,79.697647,3.860415
157.809,79.659123,3.874235
157.911,79.659123,3.874235
158.11,79.562814,3.883448
158.3,79.485766,3.892661
158.409,79.466505,3.906482
158.6,79.389457,3.906482
158.709,79.389457,3.915695
158.9,79.370195,3.920302
159.01,79.273886,3.934122
159.2,79.293148,3.947942
159.313,79.216101,3.952549
159.417,79.216101,3.952549
159.611,79.158315,3.975582
159.8,79.081268,3.975582
159.91,79.062006,3.975582
160.1,78.965697,3.994009
160.213,78.965697,4.003222
160.315,78.965697,4.003222
160.514,78.88865,4.026256
160.707,78.850126,4.035469
160.81,78.773079,4.040076
161,78.734555,4.044683
161.11,78.657508,4.058503
161.3,78.657508,4.067716
161.41,78.638246,4.07693
161.602,78.522675,4.081536
161.711,78.503413,4.09075
161.811,78.503413,4.09075
162.01,78.445627,4.109176
162.2,78.426366,4.11839
162.31,78.330056,4.127603
162.5,78.175962,4.127603
162.61,78.195224,4.136817
162.803,78.1567,4.150637
162.911,78.041129,4.15985
163.1,78.079652,4.15985
163.21,78.021867,4.17367
163.401,78.021867,4.192097
163.514,77.964081,4.192097
163.616,77.964081,4.192097
163.815,77.925558,4.21513
164.005,77.84851,4.224344
164.11,77.809987,4.224344
164.3,77.732939,4.233557
164.414,77.732939,4.247377
164.6,77.694416,4.261197
164.714,77.63663,4.265804
164.904,77.63663,4.279624
165.01,77.521059,4.284231
165.111,77.521059,4.284231
165.311,77.405488,4.302658
165.5,77.405488,4.316478
165.611,77.347703,4.321085
165.801,77.309179,4.339511
165.911,77.289917,4.348725
166.013,77.289917,4.348725
166.211,77.21287,4.362545
166.4,77.135823,4.362545
166.511,77.097299,4.376365
166.7,77.020252,4.385578
166.811,77.020252,4.399399
167.001,76.962466,4.413219
167.114,76.904681,4.422432
167.304,76.866157,4.427039
167.501,76.808371,4.436252
167.715,76.6928,4.463892
167.9,76.6928,4.473106
168,76.6928,4.473106
168.202,76.577229,4.491532
168.401,76.519444,4.505353
168.601,76.48092,4.514566
168.702,76.423135,4.528386
168.912,76.326826,4.537599
169.106,76.26904,4.542206
169.301,76.288302,4.560633
169.401,76.191993,4.574453
169.512,76.191993,4.588273
169.708,76.114945,4.602093
169.812,76.076422,4.6067
169.914,76.076422,4.6067
170.112,75.999374,4.62052
170.301,75.941589,4.629734
170.412,75.864542,4.643554
170.603,75.864542,4.643554
170.801,75.787494,4.66198
170.901,75.787494,4.671194
171.012,75.729709,4.685014
171.206,75.671923,4.694227
171.312,75.652661,4.703441
171.501,75.575614,4.721868
171.7,75.53709,4.717261
171.804,75.479305,4.740294
171.912,75.460043,4.749508
172.014,75.460043,4.749508
172.114,75.402258,4.758721
172.218,75.363734,4.772541
172.32,75.363734,4.772541
172.518,75.305948,4.786361
172.619,75.305948,4.786361
172.722,75.267425,4.795575
172.916,75.228901,4.804788
